ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(Â°C),Water Temp(Â°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
610376189,Photo,Limpkin (Speckled),Aramus guarauna [pictus Group],,Menachem Goldstein,2023-10-25,2023.0,10.0,25.0,757.0,United States,US-NY-015,New York,Chemung,Pirozzolo Park,42.075558,-76.844954,,,Unspecified,,,,,,,,,S153034201,,,,,"***Very Rare, continuing along edge of forest nearest to southeasternmost little league field.  Fearless and readily approachable, though we were sure to give it some space, as it chowed down on earthworms.  NYS #406!  Photos.",Aramus guarauna,limpki1,Group,5643.0,,4.0,1.0,,2350.0,3133.0
615396546,Photo,Wood Duck,Aix sponsa,,David Vander Pluym,2017-12-03,2017.0,12.0,3.0,936.0,Canada,CA-BC-GV,British Columbia,Metro Vancouver,Reifel Bird Sanctuary,49.1,-123.185,,,Unspecified,,,,,,,,,S40890072,,,,,,Aix sponsa,wooduc,Species,433.0,,0.0,0.0,,3456.0,4472.0
615504199,Photo,Wood Duck,Aix sponsa,,Zealon Wight-Maier,2024-02-27,2024.0,2.0,27.0,657.0,United States,US-WV-061,West Virginia,Monongalia,New Hill,39.669017,-80.068911,,,Unspecified,,,,,,,,,S163087721,,,,,Yard birdâï¸&#x1f48e;,Aix sponsa,wooduc,Species,433.0,,0.0,0.0,,1583.0,2048.0
135338831,Photo,American Bittern,Botaurus lentiginosus,,Frank Lospalluto,2019-01-15,2019.0,1.0,15.0,1401.0,United States,US-OR-029,Oregon,Jackson,Denman WMA--Ave. G and Ave. H ponds,42.4395971,-122.8673269,,,Unspecified,,,,,,,,,S51720362,,,,,,Botaurus lentiginosus,amebit,Species,7335.0,,4.75,4.0,,2379.0,4229.0
233021071,Photo,Golden-cheeked Warbler,Setophaga chrysoparia,,Leslie Linehan,2020-05-10,2020.0,5.0,10.0,806.0,United States,US-TX-091,Texas,Comal,Bracken Bat Cave area,29.6851727,-98.3504623,Adult Female â 1,,Unspecified,,,,,,,,,S68817975,,,,,"2 adult. 3 fledglings.  Heard persistent 3 note begging call of fledglings, so started looking for them.  Eventually spotted mom and one fledgling, but could hear 2 others across slight opening.  Heard brief male B song just once in about 45 minutes of observation.  Heard soft buzzy muttering calls at one point where ~3 birds were in close proximity to each other, but could not get clear views.",Setophaga chrysoparia,gchwar,Species,33674.0,,1.67,3.0,,1884.0,2826.0
611858304,Photo,Wood Duck,Aix sponsa,,Glen Chapman,2023-11-25,2023.0,11.0,25.0,757.0,United States,US-WA-033,Washington,King,Juanita Bay Park,47.6981686,-122.2101878,Female â 2,,Unspecified,,,,,,,,,S155179568,,,,,,Aix sponsa,wooduc,Species,433.0,,4.0,1.0,,1405.0,2107.0
606225721,Photo,Glossy Ibis,Plegadis falcinellus,,Kathy Rhodes,2023-08-21,2023.0,8.0,21.0,1104.0,United States,US-LA-023,Louisiana,Cameron,Lacassine NWR--Wildlife Loop only,30.0011418,-92.8946292,,,Unspecified,,,,,,,,,S147802363,,,,,,Plegadis falcinellus,gloibi,Species,7551.0,,0.0,0.0,,1565.0,2142.0
262739611,Photo,Golden-cheeked Warbler,Setophaga chrysoparia,,Neotropical Flyways Project Central America,2020-09-11,2020.0,9.0,11.0,802.0,Nicaragua,NI-JI,Jinotega,,NI_YAL05,13.2473917,-86.143325,,,Unspecified,,,,,,,,,S73465111,,,,,,Setophaga chrysoparia,gchwar,Species,33674.0,,3.0,1.0,,1054.0,1280.0
472412401,Photo,Northern Royal Albatross,Diomedea sanfordi,,Kevin Bartram,2022-07-30,2022.0,7.0,30.0,842.0,Australia,AU-VIC-EAS,Victoria,East Gippsland,Merimbula - Mallacoota Pelagic (Victorian Waters),-37.6662933,150.1067591,,,Unspecified,,,,,,,,,S116081729,,,,,,Diomedea sanfordi,royalb3,Group,6813.0,,0.0,0.0,,1419.0,2530.0
612407681,Photo,Glossy Ibis,Plegadis falcinellus,,Reza Khan,2023-12-19,2023.0,12.0,19.0,747.0,United Arab Emirates,AE-DU,Dubai,,Al Marmoom DCR--Al Qudra Pivots (no access),24.852881,55.290981,,,Unspecified,,,,,,,,,S156668828,,,,,Based on a photograph,Plegadis falcinellus,gloibi,Species,7551.0,,0.0,0.0,,2181.0,5742.0
610717218,Photo,Common Myna,Acridotheres tristis,,Alan Coates,2023-11-04,2023.0,11.0,4.0,1120.0,Australia,AU-NSW-ROC,New South Wales,Rockdale,Dolls Point,-33.994834,151.1479336,Adult â 1,,Unspecified,,,,,,,,,S153682830,,,,,,Acridotheres tristis,commyn,Species,27402.0,,4.0,2.0,,1170.0,1114.0
358633951,Photo,American Bittern,Botaurus lentiginosus,,Johnny Votta,2021-08-02,2021.0,8.0,2.0,1304.0,United States,US-NJ-001,New Jersey,Atlantic,Edwin B. Forsythe NWR (formerly Brig),39.465,-74.4477778,,,Unspecified,,,,,,,,,S92689671,,,,,"Found by Johnny Votta at the back of the gull pond. Viewed from the tower. Medium-sized heron-like bird, overall brown streaked with long neck.",Botaurus lentiginosus,amebit,Species,7335.0,,5.0,2.0,,1080.0,1620.0
608635104,Photo,Long-eared Owl,Asio otus,,Peter Koleszar,2023-09-08,2023.0,9.0,8.0,2359.0,Hungary,HU-BZ,Borsod-AbaÃºj-ZemplÃ©n,,Csincse - Lengyel tanya,47.877303,20.749588,,,Unspecified,,,,,,,,,S149384567,,,,,,Asio otus,loeowl,Species,9045.0,,2.0,1.0,,3456.0,4608.0
613889600,Photo,Glossy Ibis,Plegadis falcinellus,,Shilpa Gadgil,2024-01-02,2024.0,1.0,2.0,1044.0,India,IN-MH-JG,Maharashtra,Jalgaon,"Mamurabad Road HotSpot ,Jalgaon, Maharashtra, IN (21.025, 75.573)",21.0252271,75.5725982,,,Unspecified,,,,,,,,,S157906429,,,,,,Plegadis falcinellus,gloibi,Species,7551.0,,3.0,2.0,,3888.0,5184.0
615021865,Photo,Mallard (Domestic type),Anas platyrhynchos (Domestic type),,Michael  Williams,2024-02-18,2024.0,2.0,18.0,933.0,United States,US-MA-017,Massachusetts,Middlesex,Woburn Community Gardens,42.4736361,-71.1680778,,,Unspecified,,,,,,,,,S162025344,,,,,,Anas platyrhynchos,mallar2,Domestic,518.0,,0.0,0.0,,2825.0,4238.0
